toponym,date,category_id,area_percentage,category,color
Falmey,1981_07_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1981_07_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1981_08_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1981_08_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1981_08_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1981_08_01,n001,17.8082191780822,G Extremey Dry,#C00000FF
Diapaga,1981_08_01,n001,13.4328358208955,G Extremey Dry,#C00000FF
Tansarga,1981_08_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1981_08_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1981_08_01,n001,2.77777777777778,G Extremey Dry,#C00000FF
Tamou,1981_08_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1981_08_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1981_08_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1981_08_01,n001,8.6734693877551,G Extremey Dry,#C00000FF
Kouandé,1981_09_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1981_09_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1981_09_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1981_09_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1981_09_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1981_09_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1981_09_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1981_09_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1981_09_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1981_09_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1981_09_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1981_09_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1981_10_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1981_10_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1981_10_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1981_10_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1981_10_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1981_10_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1981_10_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1981_10_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1981_10_01,n001,4.04040404040404,G Extremey Dry,#C00000FF
Kirtachi,1981_10_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1981_10_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1981_10_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1981_11_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1981_11_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1981_11_01,n001,0,G Extremey Dry,#C00000FF
