name,spi_cat,time,value,month
Banikoara,005 E Moderately Dry,1982-02-01,0,feb
Banikoara,004 D Normal,1982-02-01,6.16438356164384,feb
Banikoara,003 C Moderately Wet,1982-02-01,48.6301369863014,feb
Banikoara,002 B Severely Wet,1982-02-01,16.4383561643836,feb
Banikoara,001 A Extremely Wet,1982-02-01,28.7671232876712,feb
Banikoara,007 G Extremey Dry,1982-03-01,0,mar
Banikoara,006 F Severely Dry,1982-03-01,0,mar
Banikoara,005 E Moderately Dry,1982-03-01,0,mar
Banikoara,004 D Normal,1982-03-01,100,mar
Banikoara,003 C Moderately Wet,1982-03-01,0,mar
Banikoara,002 B Severely Wet,1982-03-01,0,mar
Banikoara,001 A Extremely Wet,1982-03-01,0,mar
Banikoara,007 G Extremey Dry,1982-04-01,0,apr
Banikoara,006 F Severely Dry,1982-04-01,0,apr
Banikoara,005 E Moderately Dry,1982-04-01,0,apr
Banikoara,004 D Normal,1982-04-01,84.9315068493151,apr
Banikoara,003 C Moderately Wet,1982-04-01,15.0684931506849,apr
Banikoara,002 B Severely Wet,1982-04-01,0,apr
Banikoara,001 A Extremely Wet,1982-04-01,0,apr
Banikoara,007 G Extremey Dry,1982-05-01,0,mag
Banikoara,006 F Severely Dry,1982-05-01,0,mag
Banikoara,005 E Moderately Dry,1982-05-01,0,mag
Banikoara,004 D Normal,1982-05-01,97.2602739726027,mag
Banikoara,003 C Moderately Wet,1982-05-01,2.73972602739726,mag
Banikoara,002 B Severely Wet,1982-05-01,0,mag
Banikoara,001 A Extremely Wet,1982-05-01,0,mag
Banikoara,007 G Extremey Dry,1982-06-01,0,giu
Banikoara,006 F Severely Dry,1982-06-01,0,giu
Banikoara,005 E Moderately Dry,1982-06-01,7.53424657534247,giu
Banikoara,004 D Normal,1982-06-01,86.3013698630137,giu
Banikoara,003 C Moderately Wet,1982-06-01,6.16438356164384,giu
Banikoara,002 B Severely Wet,1982-06-01,0,giu
Banikoara,001 A Extremely Wet,1982-06-01,0,giu
Banikoara,007 G Extremey Dry,1982-07-01,9.58904109589041,lug
Banikoara,006 F Severely Dry,1982-07-01,23.2876712328767,lug
Banikoara,005 E Moderately Dry,1982-07-01,32.1917808219178,lug
Banikoara,004 D Normal,1982-07-01,34.9315068493151,lug
Banikoara,003 C Moderately Wet,1982-07-01,0,lug
Banikoara,002 B Severely Wet,1982-07-01,0,lug
Banikoara,001 A Extremely Wet,1982-07-01,0,lug
Banikoara,007 G Extremey Dry,1982-08-01,1.36986301369863,ago
Banikoara,006 F Severely Dry,1982-08-01,30.1369863013699,ago
Banikoara,005 E Moderately Dry,1982-08-01,52.7397260273973,ago
Banikoara,004 D Normal,1982-08-01,15.7534246575342,ago
Banikoara,003 C Moderately Wet,1982-08-01,0,ago
Banikoara,002 B Severely Wet,1982-08-01,0,ago
Banikoara,001 A Extremely Wet,1982-08-01,0,ago
Banikoara,007 G Extremey Dry,1982-09-01,6.16438356164384,set
Banikoara,006 F Severely Dry,1982-09-01,32.1917808219178,set
Banikoara,005 E Moderately Dry,1982-09-01,51.3698630136986,set
Banikoara,004 D Normal,1982-09-01,10.2739726027397,set
Banikoara,003 C Moderately Wet,1982-09-01,0,set
Banikoara,002 B Severely Wet,1982-09-01,0,set
Banikoara,001 A Extremely Wet,1982-09-01,0,set
Banikoara,007 G Extremey Dry,1982-10-01,0.684931506849315,ott
Banikoara,006 F Severely Dry,1982-10-01,0,ott
Banikoara,005 E Moderately Dry,1982-10-01,30.1369863013699,ott
Banikoara,004 D Normal,1982-10-01,69.1780821917808,ott
Banikoara,003 C Moderately Wet,1982-10-01,0,ott
Banikoara,002 B Severely Wet,1982-10-01,0,ott
Banikoara,001 A Extremely Wet,1982-10-01,0,ott
Banikoara,007 G Extremey Dry,1982-11-01,0,nov
Banikoara,006 F Severely Dry,1982-11-01,0,nov
Banikoara,005 E Moderately Dry,1982-11-01,0,nov
Banikoara,004 D Normal,1982-11-01,100,nov
Banikoara,003 C Moderately Wet,1982-11-01,0,nov
Banikoara,002 B Severely Wet,1982-11-01,0,nov
Banikoara,001 A Extremely Wet,1982-11-01,0,nov
Banikoara,007 G Extremey Dry,1982-12-01,0,dic
Banikoara,006 F Severely Dry,1982-12-01,0,dic
Banikoara,005 E Moderately Dry,1982-12-01,0,dic
Banikoara,004 D Normal,1982-12-01,100,dic
Banikoara,003 C Moderately Wet,1982-12-01,0,dic
Banikoara,002 B Severely Wet,1982-12-01,0,dic
Banikoara,001 A Extremely Wet,1982-12-01,0,dic
Banikoara,007 G Extremey Dry,1983-01-01,26.7123287671233,gen
Banikoara,006 F Severely Dry,1983-01-01,1.36986301369863,gen
Banikoara,005 E Moderately Dry,1983-01-01,2.73972602739726,gen
Banikoara,004 D Normal,1983-01-01,67.1232876712329,gen
Banikoara,003 C Moderately Wet,1983-01-01,2.05479452054794,gen
Banikoara,002 B Severely Wet,1983-01-01,0,gen
Banikoara,001 A Extremely Wet,1983-01-01,0,gen
Banikoara,007 G Extremey Dry,1983-02-01,0,feb
Banikoara,006 F Severely Dry,1983-02-01,2.73972602739726,feb
Banikoara,005 E Moderately Dry,1983-02-01,4.10958904109589,feb
Banikoara,004 D Normal,1983-02-01,80.8219178082192,feb
Banikoara,003 C Moderately Wet,1983-02-01,4.79452054794521,feb
Banikoara,002 B Severely Wet,1983-02-01,7.53424657534247,feb
Banikoara,001 A Extremely Wet,1983-02-01,0,feb
Banikoara,007 G Extremey Dry,1983-03-01,0,mar
Banikoara,006 F Severely Dry,1983-03-01,0,mar
Banikoara,005 E Moderately Dry,1983-03-01,0,mar
Banikoara,004 D Normal,1983-03-01,91.0958904109589,mar
Banikoara,003 C Moderately Wet,1983-03-01,8.9041095890411,mar
Banikoara,002 B Severely Wet,1983-03-01,0,mar
Banikoara,001 A Extremely Wet,1983-03-01,0,mar
Banikoara,007 G Extremey Dry,1983-04-01,2.73972602739726,apr
Banikoara,006 F Severely Dry,1983-04-01,54.7945205479452,apr
Banikoara,005 E Moderately Dry,1983-04-01,42.4657534246575,apr
Banikoara,004 D Normal,1983-04-01,0,apr
Banikoara,003 C Moderately Wet,1983-04-01,0,apr
Banikoara,002 B Severely Wet,1983-04-01,0,apr
Banikoara,001 A Extremely Wet,1983-04-01,0,apr
Banikoara,007 G Extremey Dry,1983-05-01,0,mag
Banikoara,006 F Severely Dry,1983-05-01,4.79452054794521,mag
Banikoara,005 E Moderately Dry,1983-05-01,21.2328767123288,mag
Banikoara,004 D Normal,1983-05-01,73.972602739726,mag
Banikoara,003 C Moderately Wet,1983-05-01,0,mag
Banikoara,002 B Severely Wet,1983-05-01,0,mag
Banikoara,001 A Extremely Wet,1983-05-01,0,mag
Banikoara,007 G Extremey Dry,1983-06-01,0,giu
Banikoara,006 F Severely Dry,1983-06-01,2.73972602739726,giu
Banikoara,005 E Moderately Dry,1983-06-01,68.4931506849315,giu
Banikoara,004 D Normal,1983-06-01,28.7671232876712,giu
Banikoara,003 C Moderately Wet,1983-06-01,0,giu
Banikoara,002 B Severely Wet,1983-06-01,0,giu
Banikoara,001 A Extremely Wet,1983-06-01,0,giu
Banikoara,007 G Extremey Dry,1983-07-01,0.684931506849315,lug
Banikoara,006 F Severely Dry,1983-07-01,4.79452054794521,lug
Banikoara,005 E Moderately Dry,1983-07-01,27.3972602739726,lug
Banikoara,004 D Normal,1983-07-01,67.1232876712329,lug
Banikoara,003 C Moderately Wet,1983-07-01,0,lug
Banikoara,002 B Severely Wet,1983-07-01,0,lug
Banikoara,001 A Extremely Wet,1983-07-01,0,lug
Banikoara,007 G Extremey Dry,1983-08-01,10.958904109589,ago
Banikoara,006 F Severely Dry,1983-08-01,61.6438356164384,ago
Banikoara,005 E Moderately Dry,1983-08-01,23.2876712328767,ago
Banikoara,004 D Normal,1983-08-01,4.10958904109589,ago
Banikoara,003 C Moderately Wet,1983-08-01,0,ago
Banikoara,002 B Severely Wet,1983-08-01,0,ago
Banikoara,001 A Extremely Wet,1983-08-01,0,ago
Banikoara,007 G Extremey Dry,1983-09-01,26.7123287671233,set
Banikoara,006 F Severely Dry,1983-09-01,36.3013698630137,set
Banikoara,005 E Moderately Dry,1983-09-01,27.3972602739726,set
Banikoara,004 D Normal,1983-09-01,9.58904109589041,set
Banikoara,003 C Moderately Wet,1983-09-01,0,set
Banikoara,002 B Severely Wet,1983-09-01,0,set
Banikoara,001 A Extremely Wet,1983-09-01,0,set
Banikoara,007 G Extremey Dry,1983-10-01,87.6712328767123,ott
Banikoara,006 F Severely Dry,1983-10-01,8.9041095890411,ott
Banikoara,005 E Moderately Dry,1983-10-01,2.73972602739726,ott
Banikoara,004 D Normal,1983-10-01,0.684931506849315,ott
Banikoara,003 C Moderately Wet,1983-10-01,0,ott
Banikoara,002 B Severely Wet,1983-10-01,0,ott
Banikoara,001 A Extremely Wet,1983-10-01,0,ott
Banikoara,007 G Extremey Dry,1983-11-01,2.73972602739726,nov
Banikoara,006 F Severely Dry,1983-11-01,19.8630136986301,nov
Banikoara,005 E Moderately Dry,1983-11-01,36.3013698630137,nov
Banikoara,004 D Normal,1983-11-01,41.0958904109589,nov
Banikoara,003 C Moderately Wet,1983-11-01,0,nov
Banikoara,002 B Severely Wet,1983-11-01,0,nov
Banikoara,001 A Extremely Wet,1983-11-01,0,nov
Banikoara,007 G Extremey Dry,1983-12-01,44.5205479452055,dic
Banikoara,006 F Severely Dry,1983-12-01,50,dic
Banikoara,005 E Moderately Dry,1983-12-01,5.47945205479452,dic
